Mito,Cage,Vial,Count
Zim,2,17,79
Zim,2,18,91
Zim,2,19,41
Zim,2,20,44
Zim,2,21,61
Zim,2,22,30
Zim,2,23,8
Zim,2,24,82
Zim,2,25,2
Zim,2,26,22
Zim,2,27,12
Zim,2,28,64
Zim,2,29,42
Zim,2,30,77
Zim,2,31,58
Zim,2,32,52
Zim,2,33,56
Zim,2,34,24
Zim,2,35,68
Zim,2,36,62
Zim,2,37,48
Zim,2,38,40
Zim,2,39,68
Zim,2,40,22
Zim,2,41,57
Zim,2,42,21
Zim,2,43,35
Zim,2,44,43
Zim,2,45,56
Zim,3,1,69
Zim,3,2,62
Zim,3,3,50
Zim,3,4,0
Zim,3,5,54
Zim,3,6,15
Zim,3,7,46
Zim,3,8,41
Zim,3,9,58
Zim,3,10,59
Zim,3,11,59
Zim,3,12,34
Zim,3,13,66
Zim,3,14,26
Zim,3,15,60
Zim,3,16,28
Zim,3,17,3
Zim,3,18,47
Zim,3,19,29
Zim,3,20,58
Zim,3,21,65
Zim,3,22,39
Zim,3,23,21
Zim,3,24,7
Zim,3,25,2
Zim,3,26,41
Zim,3,27,42
Zim,3,28,49
Zim,3,29,53
Zim,3,30,67
Zim,3,31,11
Zim,3,32,30
Zim,3,33,25
Zim,3,34,38
Zim,3,35,21
Zim,3,36,43
Zim,3,37,26
Zim,3,38,56
Zim,3,39,56
Zim,3,40,58
Zim,3,41,27
Zim,3,42,40
Zim,3,43,12
Zim,3,44,34
Zim,3,45,57
Zim,4,1,70
Zim,4,2,68
Zim,4,3,56
Zim,4,4,47
Zim,4,5,44
Zim,4,6,23
Zim,4,7,47
Zim,4,8,65
Zim,4,9,77
Zim,4,10,54
Zim,4,11,62
Zim,4,12,51
Zim,4,13,52
Zim,4,14,46
Zim,4,15,36
Zim,4,16,65
Zim,4,17,51
Zim,4,18,40
Zim,4,19,68
Zim,4,20,44
Zim,4,21,40
Zim,4,22,55
Zim,4,23,72
Zim,4,24,8
Zim,4,25,51
Zim,4,26,50
Zim,4,27,43
Zim,4,28,60
Zim,4,29,31
Zim,4,30,28
Zim,4,31,35
Zim,4,32,62
Zim,4,33,21
Zim,4,34,50
Zim,4,35,58
Zim,4,36,54
Zim,4,37,32
Zim,4,38,16
Zim,4,39,56
Zim,4,40,40
Zim,4,41,35
Zim,4,42,56
Zim,4,43,27
Zim,4,44,53
Zim,4,45,42
Zim,5,1,5
Zim,5,2,43
Zim,5,3,40
Zim,5,4,33
Zim,5,5,65
Zim,5,6,45
Zim,5,7,52
Zim,5,8,62
Zim,5,9,30
Zim,5,10,67
Zim,5,11,26
Zim,5,12,38
Zim,5,13,36
Zim,5,14,48
Zim,5,15,70
Zim,5,16,66
Zim,5,17,47
Zim,5,18,20
Zim,5,19,49
Zim,5,20,41
Zim,5,21,38
Zim,5,22,43
Zim,5,23,41
Zim,5,24,58
Zim,5,25,3
Zim,5,26,79
Zim,5,27,62
Zim,5,28,64
Zim,5,29,62
Zim,5,30,54
Zim,5,31,63
Zim,5,32,68
Zim,5,33,61
Zim,5,34,66
Zim,5,35,62
Zim,5,36,5
Zim,5,37,54
Zim,5,38,52
Zim,5,39,14
Zim,5,40,79
Zim,5,41,77
Zim,5,42,81
Zim,5,43,59
Zim,5,44,39
Zim,5,45,63
